id,name,value,units_of_measurement,timestamp
1,Available System RAM,1375379456,bytes,2017-04-15 16:30:26.443 GMT+01:00
2,Available System RAM,1377308672,bytes,2017-04-15 16:31:26.733 GMT+01:00
26,Available System RAM,1377857536,bytes,2017-04-15 16:32:26.753 GMT+01:00
48,Available System RAM,1377419264,bytes,2017-04-15 16:33:26.771 GMT+01:00
70,Available System RAM,1377275904,bytes,2017-04-15 16:34:26.801 GMT+01:00
92,Available System RAM,1357643776,bytes,2017-04-15 16:35:26.824 GMT+01:00
93,Available System RAM,1361256448,bytes,2017-04-15 16:39:37.598 GMT+01:00
94,Available System RAM,1364140032,bytes,2017-04-15 16:40:32.834 GMT+01:00
116,Available System RAM,1361330176,bytes,2017-04-15 16:41:32.614 GMT+01:00
138,Available System RAM,1360519168,bytes,2017-04-15 16:42:32.642 GMT+01:00
160,Available System RAM,1359368192,bytes,2017-04-15 16:43:32.677 GMT+01:00
182,Available System RAM,1359134720,bytes,2017-04-15 16:44:32.699 GMT+01:00
205,Available System RAM,1383231488,bytes,2017-04-15 20:37:04.217 GMT+01:00
206,Available System RAM,1385213952,bytes,2017-04-15 20:38:04.535 GMT+01:00
223,Available System RAM,1384988672,bytes,2017-04-15 20:39:04.553 GMT+01:00
239,Available System RAM,1385811968,bytes,2017-04-15 20:40:04.574 GMT+01:00
255,Available System RAM,1384841216,bytes,2017-04-15 20:41:04.593 GMT+01:00
271,Available System RAM,1385668608,bytes,2017-04-15 20:42:04.613 GMT+01:00
288,Available System RAM,1385529344,bytes,2017-04-15 20:43:04.635 GMT+01:00
304,Available System RAM,1385283584,bytes,2017-04-15 20:44:04.659 GMT+01:00
320,Available System RAM,1384587264,bytes,2017-04-15 20:45:04.677 GMT+01:00
336,Available System RAM,1384632320,bytes,2017-04-15 20:46:04.693 GMT+01:00
352,Available System RAM,1384411136,bytes,2017-04-15 20:47:04.711 GMT+01:00
368,Available System RAM,1384677376,bytes,2017-04-15 20:48:04.733 GMT+01:00
385,Available System RAM,1384570880,bytes,2017-04-15 20:49:04.766 GMT+01:00
401,Available System RAM,1384136704,bytes,2017-04-15 20:50:04.775 GMT+01:00
417,Available System RAM,1383870464,bytes,2017-04-15 20:51:04.791 GMT+01:00
433,Available System RAM,1383628800,bytes,2017-04-15 20:52:04.814 GMT+01:00
450,Available System RAM,1383415808,bytes,2017-04-15 20:53:04.835 GMT+01:00
466,Available System RAM,1383923712,bytes,2017-04-15 20:54:04.856 GMT+01:00
482,Available System RAM,1384189952,bytes,2017-04-15 20:55:04.878 GMT+01:00
498,Available System RAM,1383911424,bytes,2017-04-15 20:56:04.898 GMT+01:00
514,Available System RAM,1383223296,bytes,2017-04-15 20:57:04.918 GMT+01:00
531,Available System RAM,1383772160,bytes,2017-04-15 20:58:04.939 GMT+01:00
