id,name,value,units_of_measurement,timestamp
1,TimeChange - TIME_CHANGED,Sat Apr 15 16:27:20 GMT+01:00 2017,time,2017-04-15 16:27:20.748 GMT+01:00
2,ConnectionChange,"isConnected - true
connectedMethod - Mobile",,2017-04-15 16:27:22.357 GMT+01:00
3,BaseStationChange - Current,"0 - 0 - 0 - GSM - 
",CID - LAC - PSC - NetworkType,2017-04-15 16:29:48.238 GMT+01:00
4,BaseStationChange - Neighbours,"0 - 0 - 2147483647 - GSM - -113
",CID - LAC - PSC - Latitude - Longitude - NetworkType - RSSI dBm,2017-04-15 16:29:48.245 GMT+01:00
5,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:29:48.265 GMT+01:00
6,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:30:00.544 GMT+01:00
7,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:30:20.551 GMT+01:00
8,BaseStationChange - Current,"0 - 0 - 0 - GSM - 
",CID - LAC - PSC - NetworkType,2017-04-15 16:34:57.853 GMT+01:00
9,BaseStationChange - Neighbours,"0 - 0 - 2147483647 - GSM - -113
",CID - LAC - PSC - Latitude - Longitude - NetworkType - RSSI dBm,2017-04-15 16:34:57.859 GMT+01:00
10,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:34:57.867 GMT+01:00
11,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:35:00.648 GMT+01:00
12,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:35:20.654 GMT+01:00
13,BaseStationChange - Current,"0 - 0 - 0 - GSM - 
",CID - LAC - PSC - NetworkType,2017-04-15 16:39:32.617 GMT+01:00
14,BaseStationChange - Neighbours,"0 - 0 - 2147483647 - GSM - -113
",CID - LAC - PSC - Latitude - Longitude - NetworkType - RSSI dBm,2017-04-15 16:39:32.623 GMT+01:00
15,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 16:39:32.631 GMT+01:00
16,BaseStationChange - Current,"0 - 0 - 0 - GSM - 
",CID - LAC - PSC - NetworkType,2017-04-15 20:36:52.469 GMT+01:00
17,BaseStationChange - Neighbours,"0 - 0 - 2147483647 - GSM - -113
",CID - LAC - PSC - Latitude - Longitude - NetworkType - RSSI dBm,2017-04-15 20:36:52.477 GMT+01:00
18,BaseStationChange - Current,12,GSM SignalStrength,2017-04-15 20:36:52.485 GMT+01:00
19,TimeChange - TIME_CHANGED,Sat Apr 15 23:35:21 GMT+01:00 2017,time,2017-04-15 23:35:21.400 GMT+01:00
20,BaseStationChange - Current,"0 - 0 - 0 - GSM - 
",CID - LAC - PSC - NetworkType,2017-04-15 23:35:22.239 GMT+01:00
21,BaseStationChange - Neighbours,"0 - 0 - 2147483647 - GSM - -113
",CID - LAC - PSC - Latitude - Longitude - NetworkType - RSSI dBm,2017-04-15 23:35:22.279 GMT+01:00
22,BaseStationChange - Current,99,GSM SignalStrength,2017-04-15 23:35:22.326 GMT+01:00
23,ConnectionChange,"isConnected - true
connectedMethod - Mobile",,2017-04-15 23:35:22.665 GMT+01:00
