id,name,value,units_of_measurement,timestamp
3,Used System CPU,0.0,%,2017-04-15 16:31:26.754 GMT+01:00
27,Used System CPU,1.5189873,%,2017-04-15 16:32:26.762 GMT+01:00
49,Used System CPU,0.25062656,%,2017-04-15 16:33:26.782 GMT+01:00
71,Used System CPU,0.0,%,2017-04-15 16:34:26.818 GMT+01:00
95,Used System CPU,0.5063291,%,2017-04-15 16:40:32.851 GMT+01:00
117,Used System CPU,0.7653061,%,2017-04-15 16:41:32.628 GMT+01:00
139,Used System CPU,0.5141388,%,2017-04-15 16:42:32.661 GMT+01:00
161,Used System CPU,1.0204082,%,2017-04-15 16:43:32.693 GMT+01:00
183,Used System CPU,1.2755102,%,2017-04-15 16:44:32.713 GMT+01:00
207,Used System CPU,0.5076142,%,2017-04-15 20:38:04.558 GMT+01:00
224,Used System CPU,0.5141388,%,2017-04-15 20:39:04.563 GMT+01:00
240,Used System CPU,0.5141388,%,2017-04-15 20:40:04.584 GMT+01:00
256,Used System CPU,1.0204082,%,2017-04-15 20:41:04.602 GMT+01:00
272,Used System CPU,0.7692308,%,2017-04-15 20:42:04.624 GMT+01:00
289,Used System CPU,0.25773194,%,2017-04-15 20:43:04.646 GMT+01:00
305,Used System CPU,1.0256411,%,2017-04-15 20:44:04.669 GMT+01:00
321,Used System CPU,0.0,%,2017-04-15 20:45:04.689 GMT+01:00
337,Used System CPU,0.5089058,%,2017-04-15 20:46:04.701 GMT+01:00
353,Used System CPU,0.7751938,%,2017-04-15 20:47:04.721 GMT+01:00
369,Used System CPU,0.25974026,%,2017-04-15 20:48:04.744 GMT+01:00
386,Used System CPU,0.51150894,%,2017-04-15 20:49:04.772 GMT+01:00
402,Used System CPU,1.0282776,%,2017-04-15 20:50:04.782 GMT+01:00
418,Used System CPU,0.2538071,%,2017-04-15 20:51:04.802 GMT+01:00
434,Used System CPU,0.5063291,%,2017-04-15 20:52:04.824 GMT+01:00
451,Used System CPU,1.0230179,%,2017-04-15 20:53:04.848 GMT+01:00
467,Used System CPU,1.0178117,%,2017-04-15 20:54:04.866 GMT+01:00
483,Used System CPU,0.7712082,%,2017-04-15 20:55:04.889 GMT+01:00
499,Used System CPU,0.25641027,%,2017-04-15 20:56:04.907 GMT+01:00
515,Used System CPU,0.7614213,%,2017-04-15 20:57:04.927 GMT+01:00
532,Used System CPU,0.7672634,%,2017-04-15 20:58:04.951 GMT+01:00
548,Used System CPU,0.0,%,2017-04-15 20:59:04.973 GMT+01:00
564,Used System CPU,1.5228426,%,2017-04-15 21:00:04.998 GMT+01:00
580,Used System CPU,0.7672634,%,2017-04-15 21:01:05.018 GMT+01:00
596,Used System CPU,0.7633588,%,2017-04-15 21:02:05.037 GMT+01:00
613,Used System CPU,1.2722646,%,2017-04-15 21:03:05.059 GMT+01:00
629,Used System CPU,0.7672634,%,2017-04-15 21:04:05.078 GMT+01:00
645,Used System CPU,0.5089058,%,2017-04-15 21:05:05.099 GMT+01:00
661,Used System CPU,1.0204082,%,2017-04-15 21:06:05.117 GMT+01:00
678,Used System CPU,1.0075567,%,2017-04-15 21:08:05.427 GMT+01:00
694,Used System CPU,0.25641027,%,2017-04-15 21:09:05.439 GMT+01:00
710,Used System CPU,1.010101,%,2017-04-15 21:10:05.459 GMT+01:00
726,Used System CPU,0.7692308,%,2017-04-15 21:11:05.481 GMT+01:00
