id,name,value,units_of_measurement,timestamp
2918,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:03:54.754 GMT+01:00
2941,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:04:55.211 GMT+01:00
2963,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,100.0,%,2017-04-22 14:05:55.231 GMT+01:00
2985,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:06:55.255 GMT+01:00
3007,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:07:55.283 GMT+01:00
3030,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:08:55.312 GMT+01:00
3052,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:09:55.330 GMT+01:00
3074,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:10:55.353 GMT+01:00
3096,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:11:55.402 GMT+01:00
3118,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:12:55.427 GMT+01:00
3140,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:13:55.454 GMT+01:00
3162,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:14:55.479 GMT+01:00
3185,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:15:55.516 GMT+01:00
3207,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:16:55.535 GMT+01:00
3229,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:17:55.561 GMT+01:00
3252,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:18:55.578 GMT+01:00
3274,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:19:55.601 GMT+01:00
3296,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:20:55.617 GMT+01:00
3318,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:21:55.643 GMT+01:00
3340,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,100.0,%,2017-04-22 14:22:55.665 GMT+01:00
3363,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,100.0,%,2017-04-22 14:23:55.679 GMT+01:00
3385,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:24:55.704 GMT+01:00
3407,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:25:55.724 GMT+01:00
3429,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:26:55.746 GMT+01:00
3451,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:27:55.781 GMT+01:00
3474,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:28:55.804 GMT+01:00
3496,CPU Usage - pid 2833 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:29:55.840 GMT+01:00
3531,CPU Usage - pid 12970 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:31:56.183 GMT+01:00
3548,CPU Usage - pid 12970 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:32:56.187 GMT+01:00
3562,CPU Usage - pid 14101 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:33:56.642 GMT+01:00
3578,CPU Usage - pid 14101 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:34:56.627 GMT+01:00
3594,CPU Usage - pid 14101 - pt.uc.student.aclima.device_agent,99.00894,%,2017-04-22 14:35:56.646 GMT+01:00
3617,CPU Usage - pid 2374 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:54:24.202 GMT+01:00
3640,CPU Usage - pid 2374 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:55:23.939 GMT+01:00
3666,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:58:52.362 GMT+01:00
3690,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 14:59:52.366 GMT+01:00
3713,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:00:52.379 GMT+01:00
3736,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:01:52.417 GMT+01:00
3759,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:02:52.434 GMT+01:00
3783,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:03:52.455 GMT+01:00
3806,CPU Usage - pid 2885 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:04:52.478 GMT+01:00
3848,CPU Usage - pid 8675 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:07:52.875 GMT+01:00
3870,CPU Usage - pid 8675 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:08:52.862 GMT+01:00
3892,CPU Usage - pid 8675 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-22 15:09:38.618 GMT+01:00
