id,name,value,units_of_measurement,timestamp
1,Available System RAM,1375379456,bytes,2017-04-15 16:30:26.443 GMT+01:00
2,Available System RAM,1377308672,bytes,2017-04-15 16:31:26.733 GMT+01:00
3,Used System CPU,0.0,%,2017-04-15 16:31:26.754 GMT+01:00
4,CPU Usage - pid 1668 - com.android.systemui,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
5,CPU Usage - pid 1708 - android.process.media,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
6,CPU Usage - pid 1745 - com.android.inputmethod.latin,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
7,CPU Usage - pid 1851 - com.android.launcher,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
8,CPU Usage - pid 1878 - com.android.printspooler,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
9,CPU Usage - pid 1915 - android.process.acore,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
10,CPU Usage - pid 2029 - com.android.deskclock,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
11,CPU Usage - pid 2049 - com.android.music,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
12,CPU Usage - pid 2071 - com.android.calendar,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
13,CPU Usage - pid 2106 - com.android.providers.calendar,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
14,CPU Usage - pid 2256 - com.android.dialer,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
15,CPU Usage - pid 2284 - com.android.managedprovisioning,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
16,CPU Usage - pid 2324 - com.android.mms,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
17,CPU Usage - pid 2409 - com.android.email,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
18,CPU Usage - pid 2434 - com.android.exchange,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
19,CPU Usage - pid 2592 - com.android.defcontainer,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
20,CPU Usage - pid 2654 - com.svox.pico,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
21,CPU Usage - pid 2874 - pt.uc.student.aclima.device_agent,0.0,%,2017-04-15 16:31:27.768 GMT+01:00
22,RAM Usage - pid 2874 - pt.uc.student.aclima.device_agent,17877,Kilobytes,2017-04-15 16:31:45.975 GMT+01:00
23,Open Ports, tcp       0      0 127.0.0.1:5037         0.0.0.0:*              LISTEN,Proto Recv-Q Send-Q Local Address          Foreign Address        State,2017-04-15 16:31:45.992 GMT+01:00
24,Open Ports,tcp6       1      0 ::ffff:10.0.2.15:47235 ::ffff:216.58.210.142:80 CLOSE_WAIT,Proto Recv-Q Send-Q Local Address          Foreign Address        State,2017-04-15 16:31:45.992 GMT+01:00
