id,name,value,units_of_measurement,timestamp
2919,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,17896,Kilobytes,2017-04-22 14:04:12.992 GMT+01:00
2942,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18022,Kilobytes,2017-04-22 14:05:12.409 GMT+01:00
2964,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18121,Kilobytes,2017-04-22 14:06:12.425 GMT+01:00
2986,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18270,Kilobytes,2017-04-22 14:07:12.459 GMT+01:00
3008,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18241,Kilobytes,2017-04-22 14:08:12.485 GMT+01:00
3031,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18267,Kilobytes,2017-04-22 14:09:12.501 GMT+01:00
3053,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18322,Kilobytes,2017-04-22 14:10:12.519 GMT+01:00
3075,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18384,Kilobytes,2017-04-22 14:11:12.550 GMT+01:00
3097,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18388,Kilobytes,2017-04-22 14:12:12.609 GMT+01:00
3119,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18422,Kilobytes,2017-04-22 14:13:12.627 GMT+01:00
3141,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18421,Kilobytes,2017-04-22 14:14:12.658 GMT+01:00
3163,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18459,Kilobytes,2017-04-22 14:15:12.681 GMT+01:00
3186,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18567,Kilobytes,2017-04-22 14:16:12.741 GMT+01:00
3208,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18515,Kilobytes,2017-04-22 14:17:12.730 GMT+01:00
3230,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18574,Kilobytes,2017-04-22 14:18:12.772 GMT+01:00
3253,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18541,Kilobytes,2017-04-22 14:19:12.779 GMT+01:00
3275,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18597,Kilobytes,2017-04-22 14:20:12.800 GMT+01:00
3297,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18626,Kilobytes,2017-04-22 14:21:12.807 GMT+01:00
3319,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18622,Kilobytes,2017-04-22 14:22:12.848 GMT+01:00
3341,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18606,Kilobytes,2017-04-22 14:23:12.856 GMT+01:00
3364,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18562,Kilobytes,2017-04-22 14:24:12.893 GMT+01:00
3386,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18604,Kilobytes,2017-04-22 14:25:12.902 GMT+01:00
3408,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18648,Kilobytes,2017-04-22 14:26:12.924 GMT+01:00
3430,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18672,Kilobytes,2017-04-22 14:27:12.970 GMT+01:00
3452,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18632,Kilobytes,2017-04-22 14:28:12.986 GMT+01:00
3475,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18630,Kilobytes,2017-04-22 14:29:13.008 GMT+01:00
3497,RAM Usage - pid 2833 - pt.uc.student.aclima.device_agent,18647,Kilobytes,2017-04-22 14:30:13.033 GMT+01:00
3532,RAM Usage - pid 12970 - pt.uc.student.aclima.device_agent,17920,Kilobytes,2017-04-22 14:32:13.482 GMT+01:00
3563,RAM Usage - pid 14101 - pt.uc.student.aclima.device_agent,18090,Kilobytes,2017-04-22 14:34:08.805 GMT+01:00
3579,RAM Usage - pid 14101 - pt.uc.student.aclima.device_agent,18222,Kilobytes,2017-04-22 14:35:07.768 GMT+01:00
3595,RAM Usage - pid 14101 - pt.uc.student.aclima.device_agent,18357,Kilobytes,2017-04-22 14:36:07.794 GMT+01:00
3618,RAM Usage - pid 2374 - pt.uc.student.aclima.device_agent,17756,Kilobytes,2017-04-22 14:54:41.405 GMT+01:00
3641,RAM Usage - pid 2374 - pt.uc.student.aclima.device_agent,18066,Kilobytes,2017-04-22 14:55:41.134 GMT+01:00
3667,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,22491,Kilobytes,2017-04-22 14:59:10.597 GMT+01:00
3691,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,22570,Kilobytes,2017-04-22 15:00:10.559 GMT+01:00
3714,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,22542,Kilobytes,2017-04-22 15:01:10.591 GMT+01:00
3737,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,22394,Kilobytes,2017-04-22 15:02:10.630 GMT+01:00
3760,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,22306,Kilobytes,2017-04-22 15:03:10.636 GMT+01:00
3784,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,22405,Kilobytes,2017-04-22 15:04:10.688 GMT+01:00
3807,RAM Usage - pid 2885 - pt.uc.student.aclima.device_agent,23521,Kilobytes,2017-04-22 15:05:10.705 GMT+01:00
3849,RAM Usage - pid 8675 - pt.uc.student.aclima.device_agent,17808,Kilobytes,2017-04-22 15:08:11.127 GMT+01:00
3871,RAM Usage - pid 8675 - pt.uc.student.aclima.device_agent,17858,Kilobytes,2017-04-22 15:09:10.092 GMT+01:00
3893,RAM Usage - pid 8675 - pt.uc.student.aclima.device_agent,18042,Kilobytes,2017-04-22 15:09:55.863 GMT+01:00
3916,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,17850,Kilobytes,2017-04-22 15:11:20.752 GMT+01:00
3938,RAM Usage - pid 10841 - pt.uc.student.aclima.device_agent,17932,Kilobytes,2017-04-22 15:12:21.992 GMT+01:00
