id,name,value,units_of_measurement,timestamp
2897,Available System RAM,1373319168,bytes,2017-04-22 14:02:49.381 GMT+01:00
2898,Available System RAM,1370329088,bytes,2017-04-22 14:02:54.208 GMT+01:00
2899,Available System RAM,1376555008,bytes,2017-04-22 14:03:53.690 GMT+01:00
2923,Available System RAM,1378336768,bytes,2017-04-22 14:04:54.187 GMT+01:00
2945,Available System RAM,1378045952,bytes,2017-04-22 14:05:54.200 GMT+01:00
2967,Available System RAM,1376915456,bytes,2017-04-22 14:06:54.225 GMT+01:00
2989,Available System RAM,1376342016,bytes,2017-04-22 14:07:54.247 GMT+01:00
3012,Available System RAM,1377107968,bytes,2017-04-22 14:08:54.286 GMT+01:00
3034,Available System RAM,1375961088,bytes,2017-04-22 14:09:54.306 GMT+01:00
3056,Available System RAM,1377136640,bytes,2017-04-22 14:10:54.330 GMT+01:00
3078,Available System RAM,1376092160,bytes,2017-04-22 14:11:54.357 GMT+01:00
3100,Available System RAM,1375879168,bytes,2017-04-22 14:12:54.399 GMT+01:00
3122,Available System RAM,1374855168,bytes,2017-04-22 14:13:54.426 GMT+01:00
3144,Available System RAM,1374728192,bytes,2017-04-22 14:14:54.450 GMT+01:00
3167,Available System RAM,1374437376,bytes,2017-04-22 14:15:54.489 GMT+01:00
3189,Available System RAM,1374380032,bytes,2017-04-22 14:16:54.499 GMT+01:00
3211,Available System RAM,1373745152,bytes,2017-04-22 14:17:54.532 GMT+01:00
3234,Available System RAM,1374306304,bytes,2017-04-22 14:18:54.557 GMT+01:00
3256,Available System RAM,1374052352,bytes,2017-04-22 14:19:54.576 GMT+01:00
3278,Available System RAM,1373294592,bytes,2017-04-22 14:20:54.595 GMT+01:00
3300,Available System RAM,1372909568,bytes,2017-04-22 14:21:54.619 GMT+01:00
3322,Available System RAM,1372762112,bytes,2017-04-22 14:22:54.637 GMT+01:00
3345,Available System RAM,1373753344,bytes,2017-04-22 14:23:54.658 GMT+01:00
3367,Available System RAM,1372545024,bytes,2017-04-22 14:24:54.679 GMT+01:00
3389,Available System RAM,1372524544,bytes,2017-04-22 14:25:54.700 GMT+01:00
3411,Available System RAM,1371906048,bytes,2017-04-22 14:26:54.721 GMT+01:00
3433,Available System RAM,1371766784,bytes,2017-04-22 14:27:54.746 GMT+01:00
3456,Available System RAM,1371598848,bytes,2017-04-22 14:28:54.778 GMT+01:00
3478,Available System RAM,1371840512,bytes,2017-04-22 14:29:54.802 GMT+01:00
3500,Available System RAM,1372213248,bytes,2017-04-22 14:30:54.839 GMT+01:00
3513,Available System RAM,1374289920,bytes,2017-04-22 14:31:55.129 GMT+01:00
3535,Available System RAM,1390096384,bytes,2017-04-22 14:32:55.162 GMT+01:00
3549,Available System RAM,1394896896,bytes,2017-04-22 14:33:55.573 GMT+01:00
3566,Available System RAM,1395916800,bytes,2017-04-22 14:34:55.603 GMT+01:00
3582,Available System RAM,1395449856,bytes,2017-04-22 14:35:55.625 GMT+01:00
3598,Available System RAM,1379196928,bytes,2017-04-22 14:53:23.430 GMT+01:00
3599,Available System RAM,1386917888,bytes,2017-04-22 14:54:23.164 GMT+01:00
3622,Available System RAM,1384693760,bytes,2017-04-22 14:55:22.915 GMT+01:00
3644,Available System RAM,1376636928,bytes,2017-04-22 14:56:46.131 GMT+01:00
3645,Available System RAM,1370779648,bytes,2017-04-22 14:56:51.324 GMT+01:00
3646,Available System RAM,1368092672,bytes,2017-04-22 14:57:37.543 GMT+01:00
3647,Available System RAM,1368018944,bytes,2017-04-22 14:58:51.317 GMT+01:00
3671,Available System RAM,1366978560,bytes,2017-04-22 14:59:51.334 GMT+01:00
3694,Available System RAM,1366863872,bytes,2017-04-22 15:00:51.354 GMT+01:00
3717,Available System RAM,1366528000,bytes,2017-04-22 15:01:51.376 GMT+01:00
3740,Available System RAM,1366257664,bytes,2017-04-22 15:02:51.412 GMT+01:00
3764,Available System RAM,1365602304,bytes,2017-04-22 15:03:51.432 GMT+01:00
3787,Available System RAM,1365270528,bytes,2017-04-22 15:04:51.455 GMT+01:00
3810,Available System RAM,1365372928,bytes,2017-04-22 15:05:51.477 GMT+01:00
3828,Available System RAM,1372262400,bytes,2017-04-22 15:06:51.515 GMT+01:00
3829,Available System RAM,1373982720,bytes,2017-04-22 15:07:51.826 GMT+01:00
3852,Available System RAM,1373851648,bytes,2017-04-22 15:08:51.838 GMT+01:00
3874,Available System RAM,1373691904,bytes,2017-04-22 15:09:37.582 GMT+01:00
3896,Available System RAM,1370906624,bytes,2017-04-22 15:10:07.222 GMT+01:00
3897,Available System RAM,1373351936,bytes,2017-04-22 15:11:02.447 GMT+01:00
3919,Available System RAM,1371611136,bytes,2017-04-22 15:12:03.775 GMT+01:00
3941,Available System RAM,1370693632,bytes,2017-04-22 15:13:03.797 GMT+01:00
3963,Available System RAM,1370451968,bytes,2017-04-22 15:14:03.819 GMT+01:00
3985,Available System RAM,1369694208,bytes,2017-04-22 15:15:03.842 GMT+01:00
4008,Available System RAM,1370017792,bytes,2017-04-22 15:16:03.864 GMT+01:00
4030,Available System RAM,1369915392,bytes,2017-04-22 15:17:03.881 GMT+01:00
4052,Available System RAM,1369542656,bytes,2017-04-22 15:18:03.908 GMT+01:00
4074,Available System RAM,1368862720,bytes,2017-04-22 15:19:03.927 GMT+01:00
4096,Available System RAM,1368231936,bytes,2017-04-22 15:20:03.948 GMT+01:00
4119,Available System RAM,1368481792,bytes,2017-04-22 15:21:37.625 GMT+01:00
4141,Available System RAM,1368293376,bytes,2017-04-22 15:22:37.628 GMT+01:00
4163,Available System RAM,1368297472,bytes,2017-04-22 15:23:37.647 GMT+01:00
4185,Available System RAM,1368821760,bytes,2017-04-22 15:24:37.666 GMT+01:00
4207,Available System RAM,1368068096,bytes,2017-04-22 15:25:37.685 GMT+01:00
4230,Available System RAM,1368248320,bytes,2017-04-22 15:26:37.713 GMT+01:00
4252,Available System RAM,1391501312,bytes,2017-04-22 15:27:37.728 GMT+01:00
4268,Available System RAM,1390784512,bytes,2017-04-22 15:28:37.749 GMT+01:00
4284,Available System RAM,1390751744,bytes,2017-04-22 15:29:37.768 GMT+01:00
4300,Available System RAM,1390497792,bytes,2017-04-22 15:30:37.789 GMT+01:00
4316,Available System RAM,1390694400,bytes,2017-04-22 15:31:37.809 GMT+01:00
4332,Available System RAM,1391923200,bytes,2017-04-22 15:32:37.830 GMT+01:00
4349,Available System RAM,1390981120,bytes,2017-04-22 15:33:37.866 GMT+01:00
4365,Available System RAM,1390546944,bytes,2017-04-22 15:34:37.879 GMT+01:00
4381,Available System RAM,1390354432,bytes,2017-04-22 15:35:37.898 GMT+01:00
4398,Available System RAM,1390288896,bytes,2017-04-22 15:36:37.923 GMT+01:00
4414,Available System RAM,1391001600,bytes,2017-04-22 15:37:37.947 GMT+01:00
4430,Available System RAM,1390727168,bytes,2017-04-22 15:38:37.964 GMT+01:00
4446,Available System RAM,1390120960,bytes,2017-04-22 15:39:37.982 GMT+01:00
4462,Available System RAM,1390264320,bytes,2017-04-22 15:40:38.003 GMT+01:00
4479,Available System RAM,1390592000,bytes,2017-04-22 15:41:38.025 GMT+01:00
4495,Available System RAM,1390522368,bytes,2017-04-22 15:42:38.048 GMT+01:00
4511,Available System RAM,1390125056,bytes,2017-04-22 15:43:38.065 GMT+01:00
4527,Available System RAM,1390247936,bytes,2017-04-22 15:44:38.087 GMT+01:00
4543,Available System RAM,1390338048,bytes,2017-04-22 15:45:38.107 GMT+01:00
4560,Available System RAM,1390972928,bytes,2017-04-22 15:46:38.131 GMT+01:00
4576,Available System RAM,1390796800,bytes,2017-04-22 15:47:38.154 GMT+01:00
4592,Available System RAM,1389789184,bytes,2017-04-22 15:48:38.175 GMT+01:00
4608,Available System RAM,1389895680,bytes,2017-04-22 15:49:38.195 GMT+01:00
4624,Available System RAM,1389641728,bytes,2017-04-22 15:50:38.213 GMT+01:00
4641,Available System RAM,1389834240,bytes,2017-04-22 15:51:38.237 GMT+01:00
